unix_time,timestamp,gpu_index,gpu_name,memory_used_mib,memory_total_mib,memory_percent
1774626045.612,2026-03-27T15:40:45,2,NVIDIA H200,4,143771,0.0028
1774626045.612,2026-03-27T15:40:45,3,NVIDIA H200,4,143771,0.0028
1774626045.612,2026-03-27T15:40:45,4,NVIDIA H200,4,143771,0.0028
1774626045.612,2026-03-27T15:40:45,5,NVIDIA H200,4,143771,0.0028
1774626045.612,2026-03-27T15:40:45,6,NVIDIA H200,4,143771,0.0028
1774626045.612,2026-03-27T15:40:45,7,NVIDIA H200,4,143771,0.0028
1774626046.612,2026-03-27T15:40:46,0,NVIDIA H200,4,143771,0.0028
1774626046.612,2026-03-27T15:40:46,1,NVIDIA H200,4,143771,0.0028
1774626046.612,2026-03-27T15:40:46,2,NVIDIA H200,4,143771,0.0028
1774626046.612,2026-03-27T15:40:46,3,NVIDIA H200,4,143771,0.0028
1774626046.612,2026-03-27T15:40:46,4,NVIDIA H200,4,143771,0.0028
1774626046.612,2026-03-27T15:40:46,5,NVIDIA H200,4,143771,0.0028
1774626046.612,2026-03-27T15:40:46,6,NVIDIA H200,4,143771,0.0028
1774626046.612,2026-03-27T15:40:46,7,NVIDIA H200,4,143771,0.0028
1774626047.613,2026-03-27T15:40:47,0,NVIDIA H200,4,143771,0.0028
1774626047.613,2026-03-27T15:40:47,1,NVIDIA H200,4,143771,0.0028
1774626047.613,2026-03-27T15:40:47,2,NVIDIA H200,4,143771,0.0028
1774626047.613,2026-03-27T15:40:47,3,NVIDIA H200,4,143771,0.0028
1774626047.613,2026-03-27T15:40:47,4,NVIDIA H200,4,143771,0.0028
1774626047.613,2026-03-27T15:40:47,5,NVIDIA H200,4,143771,0.0028
1774626047.613,2026-03-27T15:40:47,6,NVIDIA H200,4,143771,0.0028
1774626047.613,2026-03-27T15:40:47,7,NVIDIA H200,4,143771,0.0028
1774626048.614,2026-03-27T15:40:48,0,NVIDIA H200,4,143771,0.0028
1774626048.614,2026-03-27T15:40:48,1,NVIDIA H200,4,143771,0.0028
1774626048.614,2026-03-27T15:40:48,2,NVIDIA H200,4,143771,0.0028
1774626048.614,2026-03-27T15:40:48,3,NVIDIA H200,4,143771,0.0028
1774626048.614,2026-03-27T15:40:48,4,NVIDIA H200,4,143771,0.0028
1774626048.614,2026-03-27T15:40:48,5,NVIDIA H200,4,143771,0.0028
1774626048.614,2026-03-27T15:40:48,6,NVIDIA H200,4,143771,0.0028
1774626048.614,2026-03-27T15:40:48,7,NVIDIA H200,4,143771,0.0028
1774626049.615,2026-03-27T15:40:49,0,NVIDIA H200,4,143771,0.0028
1774626049.615,2026-03-27T15:40:49,1,NVIDIA H200,4,143771,0.0028
1774626049.615,2026-03-27T15:40:49,2,NVIDIA H200,4,143771,0.0028
1774626049.615,2026-03-27T15:40:49,3,NVIDIA H200,4,143771,0.0028
1774626049.615,2026-03-27T15:40:49,4,NVIDIA H200,4,143771,0.0028
1774626049.615,2026-03-27T15:40:49,5,NVIDIA H200,4,143771,0.0028
1774626049.615,2026-03-27T15:40:49,6,NVIDIA H200,4,143771,0.0028
1774626049.615,2026-03-27T15:40:49,7,NVIDIA H200,4,143771,0.0028
1774626050.615,2026-03-27T15:40:50,0,NVIDIA H200,4,143771,0.0028
1774626050.615,2026-03-27T15:40:50,1,NVIDIA H200,4,143771,0.0028
1774626050.615,2026-03-27T15:40:50,2,NVIDIA H200,4,143771,0.0028
1774626050.615,2026-03-27T15:40:50,3,NVIDIA H200,4,143771,0.0028
1774626050.615,2026-03-27T15:40:50,4,NVIDIA H200,4,143771,0.0028
1774626050.615,2026-03-27T15:40:50,5,NVIDIA H200,4,143771,0.0028
1774626050.615,2026-03-27T15:40:50,6,NVIDIA H200,4,143771,0.0028
1774626050.615,2026-03-27T15:40:50,7,NVIDIA H200,4,143771,0.0028
1774626051.616,2026-03-27T15:40:51,0,NVIDIA H200,4,143771,0.0028
