unix_time,timestamp,gpu_index,gpu_name,memory_used_mib,memory_total_mib,memory_percent
1774628682.772,2026-03-27T16:24:42,7,NVIDIA H200,6614,143771,4.6004
1774628683.773,2026-03-27T16:24:43,0,NVIDIA H200,113054,143771,78.6348
1774628683.773,2026-03-27T16:24:43,1,NVIDIA H200,113100,143771,78.6668
1774628683.773,2026-03-27T16:24:43,2,NVIDIA H200,6854,143771,4.7673
1774628683.773,2026-03-27T16:24:43,3,NVIDIA H200,6854,143771,4.7673
1774628683.773,2026-03-27T16:24:43,4,NVIDIA H200,6854,143771,4.7673
1774628683.773,2026-03-27T16:24:43,5,NVIDIA H200,6854,143771,4.7673
1774628683.773,2026-03-27T16:24:43,6,NVIDIA H200,6854,143771,4.7673
1774628683.773,2026-03-27T16:24:43,7,NVIDIA H200,6614,143771,4.6004
1774628684.774,2026-03-27T16:24:44,0,NVIDIA H200,113054,143771,78.6348
1774628684.774,2026-03-27T16:24:44,1,NVIDIA H200,113102,143771,78.6682
1774628684.774,2026-03-27T16:24:44,2,NVIDIA H200,6854,143771,4.7673
1774628684.774,2026-03-27T16:24:44,3,NVIDIA H200,6854,143771,4.7673
1774628684.774,2026-03-27T16:24:44,4,NVIDIA H200,6854,143771,4.7673
1774628684.774,2026-03-27T16:24:44,5,NVIDIA H200,6854,143771,4.7673
1774628684.774,2026-03-27T16:24:44,6,NVIDIA H200,6854,143771,4.7673
1774628684.774,2026-03-27T16:24:44,7,NVIDIA H200,6614,143771,4.6004
1774628685.774,2026-03-27T16:24:45,0,NVIDIA H200,113054,143771,78.6348
1774628685.774,2026-03-27T16:24:45,1,NVIDIA H200,113102,143771,78.6682
1774628685.774,2026-03-27T16:24:45,2,NVIDIA H200,6854,143771,4.7673
1774628685.774,2026-03-27T16:24:45,3,NVIDIA H200,6854,143771,4.7673
1774628685.774,2026-03-27T16:24:45,4,NVIDIA H200,6854,143771,4.7673
1774628685.774,2026-03-27T16:24:45,5,NVIDIA H200,6854,143771,4.7673
1774628685.774,2026-03-27T16:24:45,6,NVIDIA H200,6854,143771,4.7673
1774628685.774,2026-03-27T16:24:45,7,NVIDIA H200,6614,143771,4.6004
1774628686.775,2026-03-27T16:24:46,0,NVIDIA H200,113054,143771,78.6348
1774628686.775,2026-03-27T16:24:46,1,NVIDIA H200,113102,143771,78.6682
1774628686.775,2026-03-27T16:24:46,2,NVIDIA H200,6854,143771,4.7673
1774628686.775,2026-03-27T16:24:46,3,NVIDIA H200,6854,143771,4.7673
1774628686.775,2026-03-27T16:24:46,4,NVIDIA H200,6854,143771,4.7673
1774628686.775,2026-03-27T16:24:46,5,NVIDIA H200,6854,143771,4.7673
1774628686.775,2026-03-27T16:24:46,6,NVIDIA H200,6854,143771,4.7673
1774628686.775,2026-03-27T16:24:46,7,NVIDIA H200,6614,143771,4.6004
1774628687.776,2026-03-27T16:24:47,0,NVIDIA H200,113054,143771,78.6348
1774628687.776,2026-03-27T16:24:47,1,NVIDIA H200,6856,143771,4.7687
1774628687.776,2026-03-27T16:24:47,2,NVIDIA H200,6854,143771,4.7673
1774628687.776,2026-03-27T16:24:47,3,NVIDIA H200,6854,143771,4.7673
1774628687.776,2026-03-27T16:24:47,4,NVIDIA H200,6854,143771,4.7673
1774628687.776,2026-03-27T16:24:47,5,NVIDIA H200,6854,143771,4.7673
1774628687.776,2026-03-27T16:24:47,6,NVIDIA H200,6854,143771,4.7673
1774628687.776,2026-03-27T16:24:47,7,NVIDIA H200,6614,143771,4.6004
1774628688.777,2026-03-27T16:24:48,0,NVIDIA H200,6806,143771,4.7339
1774628688.777,2026-03-27T16:24:48,1,NVIDIA H200,6854,143771,4.7673
1774628688.777,2026-03-27T16:24:48,2,NVIDIA H200,6854,143771,4.7673
1774628688.777,2026-03-27T16:24:48,3,NVIDIA H200,6854,143771,4.7673
1774628688.777,2026-03-27T16:24:48,4,NVIDIA H200,6854,143771,4.7673
1774628688.777,2026-03-27T16:24:48,5,NVIDIA H200,6854,143771,4.7673
1774628688.777,2026-03-27T16:24:48,6,NVIDIA H200,6854,143771,4.7673
1774628688.777,2026-03-27T16:24:48,7,NVIDIA H200,6614,143771,4.6004
1774628689.777,2026-03-27T16:24:49,0,NVIDIA H200,6806,143771,4.7339
1774628689.777,2026-03-27T16:24:49,1,NVIDIA H200,6854,143771,4.7673
1774628689.777,2026-03-27T16:24:49,2,NVIDIA H200,6854,143771,4.7673
1774628689.777,2026-03-27T16:24:49,3,NVIDIA H200,6854,143771,4.7673
1774628689.777,2026-03-27T16:24:49,4,NVIDIA H200,6854,143771,4.7673
1774628689.777,2026-03-27T16:24:49,5,NVIDIA H200,6854,143771,4.7673
1774628689.777,2026-03-27T16:24:49,6,NVIDIA H200,6854,143771,4.7673
1774628689.777,2026-03-27T16:24:49,7,NVIDIA H200,6614,143771,4.6004
1774628690.778,2026-03-27T16:24:50,0,NVIDIA H200,6806,143771,4.7339
1774628690.778,2026-03-27T16:24:50,1,NVIDIA H200,6854,143771,4.7673
1774628690.778,2026-03-27T16:24:50,2,NVIDIA H200,6854,143771,4.7673
1774628690.778,2026-03-27T16:24:50,3,NVIDIA H200,6854,143771,4.7673
1774628690.778,2026-03-27T16:24:50,4,NVIDIA H200,6854,143771,4.7673
1774628690.778,2026-03-27T16:24:50,5,NVIDIA H200,6854,143771,4.7673
1774628690.778,2026-03-27T16:24:50,6,NVIDIA H200,6854,143771,4.7673
1774628690.778,2026-03-27T16:24:50,7,NVIDIA H200,6614,143771,4.6004
1774628691.779,2026-03-27T16:24:51,0,NVIDIA H200,6806,143771,4.7339
1774628691.779,2026-03-27T16:24:51,1,NVIDIA H200,6854,143771,4.7673
1774628691.779,2026-03-27T16:24:51,2,NVIDIA H200,6854,143771,4.7673
1774628691.779,2026-03-27T16:24:51,3,NVIDIA H200,6854,143771,4.7673
1774628691.779,2026-03-27T16:24:51,4,NVIDIA H200,6854,143771,4.7673
1774628691.779,2026-03-27T16:24:51,5,NVIDIA H200,6854,143771,4.7673
1774628691.779,2026-03-27T16:24:51,6,NVIDIA H200,6854,143771,4.7673
1774628691.779,2026-03-27T16:24:51,7,NVIDIA H200,6614,143771,4.6004
1774628692.780,2026-03-27T16:24:52,0,NVIDIA H200,6806,143771,4.7339
1774628692.780,2026-03-27T16:24:52,1,NVIDIA H200,6854,143771,4.7673
1774628692.780,2026-03-27T16:24:52,2,NVIDIA H200,6854,143771,4.7673
1774628692.780,2026-03-27T16:24:52,3,NVIDIA H200,6854,143771,4.7673
1774628692.780,2026-03-27T16:24:52,4,NVIDIA H200,6854,143771,4.7673
1774628692.780,2026-03-27T16:24:52,5,NVIDIA H200,6854,143771,4.7673
1774628692.780,2026-03-27T16:24:52,6,NVIDIA H200,6854,143771,4.7673
